MachineID,MachineModel,ServicePeriod,error1_avg,error2_avg,error3_avg,error4_avg,error5_avg,Comp_Timelapse_diff_errors,RecentError,MostOccuredError,comp_1_replace_avg,comp_2_replace_avg,comp_3_replace_avg,comp_4_replace_avg,Comp_Timelapse_diff_replace,RecentReplacedComp,MostReplacedComp,comp1_repair_avg,comp2_repair_avg,comp3_repair_avg,comp4_repair_avg,Comp_Timelapse_diff_repair,RecentRepaired,MostRepairedComponent,Sensor1_max,Sensor2_max,Sensor3_max,Sensor4_max,Sensor1_min,Sensor2_min,Sensor3_min,Sensor4_min,Sensor1_mean,Sensor2_mean,Sensor3_mean,Sensor4_mean,ActionPoint
MID11027,model2,22,10.73,75.0,75.0,95.0,65.0,18.75,error3,error2,0.0,100.0,95.0,65.0,30.0,Component2,Component2,69.29,42.92,58.33,60.57,16.53,Component1,Component2,228.8,648.35,157.44,62.81,115.22,214.14,59.46,21.76,170.85,445.66,101.14,40.43,ComponentRepair
MID11028,model3,22,37.5,105.0,105.0,31.66,45.0,22.5,error3,error5,37.5,105.0,0.0,40.63,32.57,Component2,Component4,46.71,44.7,40.29,40.29,14.9,Component1,Component2,236.9,615.77,157.17,70.43,112.18,190.55,56.57,22.11,170.46,446.22,100.64,40.57,ComponentReplacement
MID11029,model1,21,33.0,45.25,0.0,67.5,56.25,16.88,error4,error1,41.25,0.0,58.83,56.25,21.01,Component3,Component3,29.78,94.33,57.57,48.5,16.0,Component1,Component1,234.91,632.2,153.98,66.89,111.65,227.74,62.18,22.38,170.91,447.51,101.27,40.63,ComponentReplacement
MID11030,model3,21,0.0,44.5,67.37,0.0,90.0,29.21,error5,error2,0.0,68.04,0.0,90.0,42.02,Component4,Component2,41.0,29.75,54.67,32.15,11.94,Component4,Component4,253.62,616.39,158.3,69.7,117.05,250.06,60.7,21.86,170.39,446.02,100.89,40.55,ComponentRepair
MID11031,model3,22,45.0,0.0,0.0,0.0,75.0,31.73,error1,error1,67.5,0.0,0.0,86.71,58.02,Component1,Component4,69.0,68.0,46.5,33.9,17.76,Component4,Component4,232.8,640.22,178.64,64.91,111.64,252.48,63.02,21.26,170.89,448.2,100.74,40.46,NoIssue
MID11032,model4,21,55.0,52.5,44.08,0.0,63.75,18.37,error4,error3,55.0,52.5,0.0,63.75,25.91,Component4,Component2,38.38,51.38,58.86,25.12,15.16,Component2,Component1,236.63,631.2,153.48,64.39,116.71,195.76,65.67,23.37,170.84,445.45,100.59,40.59,ComponentRepair
MID11033,model4,22,27.0,63.75,127.5,0.0,66.0,20.62,error5,error1,67.5,127.5,0.0,66.0,36.67,Component4,Component4,87.25,39.33,38.0,33.0,15.0,Component4,Component4,241.67,632.76,172.42,69.9,112.72,211.36,61.36,21.2,171.0,447.08,100.94,40.49,ComponentRepair
MID11034,model4,22,46.44,38.04,0.0,0.0,65.0,28.26,error5,error5,0.0,0.0,0.0,65.0,39.0,Component4,Component4,33.5,69.0,52.22,42.22,15.6,Component3,Component3,235.14,627.7,154.73,70.17,118.79,231.78,58.68,23.16,170.57,447.39,100.63,40.42,NoIssue
MID11035,model1,22,33.85,41.25,41.25,50.47,75.0,13.17,error4,error1,48.75,41.25,75.0,75.0,20.0,Component3,Component1,62.33,66.29,42.57,44.6,19.08,Component3,Component2,232.16,630.57,182.91,63.47,101.82,233.72,67.03,21.06,170.79,445.61,101.32,40.53,NoIssue
MID11036,model3,22,58.88,55.0,71.67,0.0,75.0,19.79,error3,error1,75.0,55.0,0.0,75.0,25.0,Component4,Component1,37.8,43.67,60.57,60.29,15.0,Component1,Component1,227.99,633.24,152.91,65.45,110.79,196.76,60.04,20.59,170.92,446.11,100.66,40.5,ComponentRepair
MID11037,model3,22,30.0,35.0,73.31,0.0,63.75,23.08,error3,error3,30.0,35.0,0.0,63.75,33.33,Component2,Component4,55.83,58.33,36.25,49.38,16.68,Component2,Component3,254.44,659.62,149.09,63.47,117.11,199.09,65.05,21.22,170.71,445.82,100.68,40.44,NoIssue
MID11038,model2,22,35.0,56.32,41.25,50.0,60.0,14.29,error4,error4,52.5,55.0,60.0,80.0,23.08,Component3,Component3,38.0,46.5,52.12,40.88,13.55,Component4,Component1,236.9,655.93,160.83,63.99,113.31,224.22,60.01,20.28,171.14,445.53,101.64,40.59,ComponentReplacement
MID11040,model3,22,39.5,70.0,58.62,0.0,63.0,17.5,error5,error1,56.25,70.0,0.0,63.0,26.25,Component4,Component4,56.89,56.62,57.8,40.33,16.94,Component4,Component4,234.56,654.95,149.65,65.8,112.87,230.96,62.6,19.3,171.09,447.25,100.76,40.55,NoIssue
MID11041,model3,21,40.0,8.96,0.0,0.0,30.0,22.5,error5,error1,120.0,0.0,0.0,30.0,45.0,Component4,Component4,103.6,37.56,34.82,114.5,17.86,Component1,Component3,235.88,652.53,157.6,64.02,117.67,213.37,65.19,20.88,171.22,448.34,100.78,40.41,ComponentRepair
MID11042,model2,21,0.0,60.0,53.18,60.0,71.25,16.67,error5,error3,0.0,60.0,60.0,71.25,23.08,Component4,Component2,69.2,33.11,36.1,56.6,13.41,Component4,Component3,232.98,652.9,153.17,65.82,114.7,226.21,56.3,19.84,170.53,446.13,101.25,40.51,ComponentRepair
MID11043,model3,21,0.0,0.0,0.0,0.0,75.0,45.0,error5,error5,0.0,0.0,0.0,75.0,56.25,Component4,Component4,58.38,39.62,55.33,54.6,17.22,Component1,Component1,225.14,636.3,153.29,65.55,108.09,194.33,58.17,22.07,170.46,447.77,100.54,40.39,NoIssue
MID11044,model3,21,62.12,37.86,72.44,5.04,60.0,17.0,error5,error1,80.0,45.0,0.0,64.28,28.57,Component4,Component4,54.88,75.86,52.2,23.46,16.0,Component2,Component4,236.3,637.82,145.47,61.79,119.45,227.18,64.16,22.49,170.9,446.73,100.83,40.49,ComponentRepair
MID11046,model3,21,37.52,93.87,82.5,0.0,41.32,28.16,error2,error2,0.0,82.5,0.0,51.04,30.52,Component2,Component4,37.0,41.2,43.67,25.09,12.39,Component1,Component2,234.77,647.6,146.9,69.38,105.93,240.79,56.88,20.58,170.78,445.68,100.7,40.48,ComponentReplacement
MID11047,model2,22,93.47,74.19,86.64,63.75,63.0,20.62,error1,error5,0.0,0.0,63.75,63.0,28.64,Component4,Component4,26.0,85.4,73.2,38.82,16.21,Component4,Component4,239.98,648.91,153.9,73.11,114.98,240.43,62.95,21.89,170.77,447.89,101.45,40.61,ComponentRepair
MID11048,model2,22,67.5,75.0,50.0,60.0,50.0,15.0,error3,error3,90.0,64.63,60.0,50.0,23.08,Component2,Component2,40.2,29.73,86.4,46.71,13.55,Component1,Component2,229.01,639.44,161.11,61.67,112.98,194.08,66.34,21.19,170.86,445.23,101.09,40.46,ComponentReplacement
MID11050,model1,22,0.0,19.92,0.0,54.0,85.0,25.0,error5,error4,0.0,0.0,67.5,85.0,37.5,Component4,Component3,47.12,88.0,46.89,36.0,17.47,Component4,Component3,236.28,622.07,148.38,65.34,119.05,179.18,57.77,19.54,170.51,447.73,101.4,40.45,NoIssue
MID11051,model2,22,66.52,60.0,60.0,75.0,35.0,19.72,error5,error2,0.0,58.42,112.5,35.0,32.21,Component4,Component2,50.12,57.29,38.6,130.25,17.97,Component4,Component3,233.12,628.6,149.07,68.31,115.89,238.23,65.89,21.33,170.24,445.22,101.04,40.47,ComponentRepair
MID11053,model4,20,37.5,45.0,45.0,0.0,67.5,27.0,error5,error5,37.5,42.71,0.0,67.5,32.57,Component4,Component4,42.0,44.57,36.33,55.29,14.03,Component4,Component1,231.5,662.87,157.58,65.9,116.04,106.57,63.29,23.2,170.72,446.01,100.71,40.47,ComponentReplacement
MID11054,model4,20,39.19,30.0,40.0,0.0,63.75,24.23,error2,error2,0.0,40.0,0.0,63.75,39.38,Component2,Component4,72.57,56.0,35.38,38.8,15.85,Component2,Component4,230.22,631.32,154.77,62.93,112.28,243.85,60.33,16.62,170.68,446.3,100.78,40.62,NoIssue
MID11055,model3,20,52.5,55.0,41.25,0.0,60.0,18.21,error5,error3,52.5,55.0,0.0,60.0,28.33,Component4,Component4,41.22,37.25,49.56,46.83,15.31,Component2,Component1,231.95,630.2,156.75,63.92,120.01,254.71,64.59,21.44,170.8,446.7,100.53,40.41,ComponentRepair
MID11056,model4,21,45.0,55.0,52.14,0.0,75.0,17.04,error5,error3,37.5,55.0,0.0,75.0,28.12,Component4,Component2,27.89,36.14,57.29,57.89,16.25,Component4,Component1,227.83,691.6,161.03,66.25,119.07,215.93,66.79,22.4,170.83,445.16,100.76,40.47,ComponentRepair
MID11057,model4,21,51.0,50.0,37.5,48.04,50.0,15.75,error5,error5,85.0,50.0,0.0,55.35,27.68,Component4,Component4,76.25,58.88,40.0,37.33,16.69,Component4,Component4,233.37,641.46,151.62,66.1,104.07,220.4,61.73,22.2,170.94,446.94,100.53,40.6,ComponentRepair
MID11058,model4,21,37.5,21.0,26.25,0.0,75.0,20.0,error5,error2,37.5,26.25,0.0,75.0,30.0,Component4,Component2,52.17,49.78,47.17,61.62,17.0,Component4,Component2,242.73,645.86,153.08,62.46,119.39,243.39,63.02,18.99,170.92,445.26,100.76,40.53,ComponentRepair
MID11059,model1,20,0.0,33.0,41.25,53.81,0.0,19.25,error1,error2,0.0,41.25,75.0,0.0,36.43,Component2,Component2,40.9,53.89,29.6,34.0,17.17,Component1,Component1,238.06,689.11,147.33,64.15,103.2,199.97,57.75,22.4,170.14,445.51,100.95,40.19,ComponentRepair
MID11060,model3,20,29.88,56.25,56.25,0.0,56.25,15.0,error5,error1,0.0,56.25,0.0,56.25,26.67,Component4,Component2,99.5,59.12,61.33,42.56,17.52,Component2,Component4,233.41,642.61,149.17,70.79,111.91,216.78,60.83,22.29,170.71,447.61,100.65,40.6,ComponentRepair
MID11061,model3,20,0.0,82.5,82.5,0.0,40.0,33.75,error5,error5,0.0,82.5,0.0,40.0,45.0,Component4,Component4,86.25,56.25,52.5,72.0,19.44,Component3,Component3,232.55,639.72,154.82,65.86,118.24,207.03,61.43,16.04,170.72,446.56,100.88,40.46,NoIssue
MID11062,model3,20,54.0,62.46,55.0,0.0,71.25,19.69,error5,error1,90.0,55.0,0.0,71.25,31.5,Component4,Component4,51.71,81.4,43.14,35.38,15.59,Component4,Component1,254.08,649.47,146.44,65.39,115.57,199.36,63.56,16.34,170.9,446.86,100.66,40.52,ComponentRepair
MID11063,model4,20,62.56,65.0,75.14,0.0,70.0,21.04,error1,error1,85.0,65.0,0.0,70.0,33.33,Component1,Component1,54.62,72.4,24.75,41.62,13.15,Component1,Component3,236.86,656.71,151.96,62.73,112.82,179.02,63.47,24.29,171.15,447.21,100.67,40.49,ComponentRepair
MID11064,model3,21,63.75,52.5,55.29,0.0,65.0,23.43,error4,error1,63.75,52.5,0.0,70.78,31.31,Component1,Component1,39.0,84.4,32.67,35.22,14.56,Component3,Component3,236.0,632.58,148.96,64.93,116.2,229.46,60.23,20.23,171.08,446.86,100.65,40.44,ComponentRepair
MID11065,model4,20,82.75,82.5,82.5,0.0,0.0,45.07,error3,error1,0.0,82.5,0.0,0.0,75.0,Component2,Component2,62.43,48.1,34.27,23.71,13.71,Component2,Component3,234.14,667.54,152.59,70.47,112.58,226.84,63.2,20.13,170.61,446.93,100.99,40.39,ComponentRepair
MID11066,model3,20,75.0,0.0,0.0,4.4,100.0,37.5,error5,error4,75.0,0.0,0.0,100.0,52.52,Component4,Component4,55.5,43.17,37.0,69.0,17.71,Component3,Component3,241.9,624.32,149.41,65.8,113.91,251.13,64.94,22.25,171.01,447.27,100.69,40.49,NoIssue
MID11067,model2,21,65.0,53.89,75.0,75.0,63.75,15.4,error2,error2,65.0,75.0,75.0,63.75,21.0,Component2,Component2,38.6,29.8,45.12,55.11,16.38,Component2,Component2,238.19,654.79,156.51,72.13,115.51,238.65,62.16,21.42,171.12,445.75,101.36,40.63,ComponentReplacement
MID11068,model4,20,35.0,54.0,45.0,0.0,52.5,17.81,error3,error3,52.5,54.0,0.0,52.5,31.67,Component2,Component2,54.5,48.44,87.2,125.33,18.64,Component2,Component2,238.45,644.22,175.99,61.81,114.08,252.6,65.98,21.86,170.93,444.73,100.87,40.4,ComponentRepair
MID11070,model3,21,103.54,83.97,0.0,0.0,52.5,28.5,error2,error5,0.0,0.0,0.0,52.5,47.5,Component2,Component4,49.43,58.14,52.75,48.56,14.55,Component2,Component4,229.03,618.82,150.85,66.22,106.17,195.75,61.11,16.87,170.26,447.77,100.67,40.57,ComponentReplacement
MID11071,model3,21,105.0,52.97,51.0,0.0,67.5,18.7,error2,error2,105.0,51.0,0.0,90.0,31.5,Component4,Component2,68.0,37.25,41.5,56.67,15.31,Component4,Component3,227.76,644.87,168.83,64.37,110.39,229.64,64.11,22.32,170.96,444.95,100.66,40.53,ComponentRepair
MID11073,model2,20,52.5,30.0,30.0,50.0,70.0,22.0,error5,error4,52.5,30.0,75.0,60.0,30.0,Component3,Component3,29.6,40.25,31.2,38.38,12.23,Component3,Component2,233.57,641.42,170.47,63.97,117.67,186.02,61.11,21.22,170.81,447.19,101.13,40.4,ComponentReplacement
MID11075,model4,20,36.5,72.22,105.0,0.0,82.5,24.67,error2,error1,30.0,105.0,0.0,82.5,40.0,Component2,Component1,48.86,39.67,54.5,27.0,11.73,Component1,Component4,233.49,667.25,158.58,67.04,115.43,198.79,66.82,23.07,170.86,446.79,100.76,40.48,ComponentRepair
MID11076,model3,20,0.0,82.5,82.5,0.0,60.0,39.38,error2,error5,0.0,82.5,0.0,60.0,52.5,Component2,Component4,31.58,102.0,43.5,33.3,12.82,Component4,Component1,241.99,653.03,156.53,61.29,110.82,249.11,60.41,22.1,170.75,447.94,100.84,40.42,ComponentRepair
MID11078,model4,20,0.0,0.0,110.46,0.0,75.0,40.71,error5,error5,0.0,0.0,0.0,73.03,48.69,Component4,Component4,52.0,44.6,46.57,83.2,15.87,Component3,Component2,233.61,636.71,149.12,66.2,108.33,224.66,62.56,21.25,170.84,446.66,100.95,40.46,NoIssue
MID11079,model2,20,112.5,0.0,0.0,30.0,50.0,20.0,error1,error4,112.5,0.0,37.5,50.0,24.0,Component1,Component3,74.83,123.5,41.12,28.55,17.03,Component1,Component4,242.52,633.85,152.18,63.52,109.54,242.18,58.81,19.86,170.58,446.48,101.25,40.55,ComponentRepair
MID11081,model4,20,28.21,79.92,130.54,0.0,75.0,27.0,error5,error5,0.0,0.0,0.0,74.78,49.85,Component4,Component4,45.4,30.25,33.38,60.6,12.0,Component2,Component2,231.08,646.64,146.74,64.88,117.2,216.19,64.31,22.42,170.62,447.47,100.68,40.53,ComponentRepair
MID11082,model4,21,0.0,42.0,45.85,0.0,75.0,18.34,error3,error3,0.0,42.0,0.0,65.78,26.31,Component4,Component2,66.0,37.2,39.0,66.75,16.45,Component2,Component2,232.58,629.77,167.65,64.37,115.72,233.6,64.61,18.29,170.57,446.44,100.76,40.55,ComponentRepair
MID11083,model3,21,40.72,25.0,30.0,0.0,52.5,13.12,error2,error2,60.0,30.0,0.0,52.5,23.33,Component2,Component2,53.56,56.14,83.25,41.62,17.21,Component1,Component1,236.52,648.88,153.51,62.93,116.05,137.47,61.04,19.16,170.8,445.11,100.58,40.16,ComponentReplacement
MID11084,model4,21,39.0,52.29,0.0,0.0,65.0,21.25,error5,error1,65.0,23.56,0.0,65.0,34.02,Component4,Component1,45.86,43.71,33.18,39.5,12.54,Component3,Component3,234.9,636.01,149.58,63.59,108.88,242.75,65.37,22.16,170.93,447.11,100.72,40.44,ComponentReplacement
MID11085,model2,20,77.43,51.0,63.75,52.8,0.0,18.0,error5,error2,112.5,63.75,67.28,164.56,27.43,Component4,Component2,45.25,31.64,35.22,47.57,10.74,Component1,Component2,232.45,629.19,158.1,66.33,114.28,236.72,62.57,23.5,170.78,445.92,101.31,40.3,ComponentReplacement
MID11086,model3,21,0.0,60.0,50.0,19.64,75.0,17.65,error2,error3,0.0,60.0,0.0,75.0,33.33,Component2,Component2,31.33,43.56,46.7,27.88,12.89,Component2,Component3,225.4,631.26,156.87,72.57,111.41,211.85,62.19,23.07,170.62,446.06,100.68,40.42,ComponentReplacement
MID11087,model2,20,88.93,38.86,54.37,60.0,52.5,19.57,error1,error5,120.0,15.0,60.0,52.5,25.91,Component1,Component4,61.0,66.17,33.36,18.86,13.71,Component1,Component3,235.34,636.36,158.53,70.79,121.99,208.1,59.54,22.67,170.93,445.97,101.09,40.65,ComponentRepair
MID11088,model3,19,0.0,97.5,97.5,0.0,60.0,30.0,error5,error5,0.0,97.5,0.0,60.0,40.0,Component4,Component4,32.8,57.17,42.88,52.25,13.06,Component4,Component1,235.27,629.26,150.09,64.86,111.07,196.15,67.1,19.48,170.59,447.06,100.85,40.52,ComponentRepair
MID11089,model1,20,0.0,0.0,0.0,90.0,51.0,28.5,error5,error5,0.0,0.0,90.0,51.0,31.67,Component4,Component4,36.75,69.75,41.73,55.5,15.77,Component4,Component3,238.36,621.18,175.83,70.9,119.68,219.99,54.17,20.21,170.58,447.38,101.37,40.59,NoIssue
MID11090,model3,20,67.5,30.0,30.0,0.0,56.25,20.0,error2,error5,67.5,30.0,0.0,56.25,26.67,Component2,Component4,33.55,48.0,51.0,52.67,16.22,Component1,Component1,231.56,636.49,150.36,63.67,115.13,234.32,62.56,22.75,170.8,445.97,100.76,40.4,ComponentRepair
MID11091,model3,20,41.25,50.0,60.0,0.0,70.0,15.79,error3,error2,55.0,60.0,0.0,70.0,27.27,Component2,Component2,46.89,51.1,76.0,62.29,18.03,Component4,Component1,230.07,642.75,153.23,65.38,115.66,185.91,64.39,21.54,171.1,444.7,100.84,40.49,NoIssue
MID11092,model4,20,30.0,97.5,65.0,0.0,55.0,27.0,error3,error3,30.0,97.5,0.0,55.0,38.57,Component2,Component4,96.8,50.0,65.0,51.25,19.59,Component3,Component4,230.52,632.4,146.45,69.56,118.0,146.9,64.12,23.03,170.83,446.13,100.45,40.46,NoIssue
MID11093,model3,20,0.0,35.14,22.5,0.0,50.0,27.0,error3,error2,0.0,22.5,0.0,50.0,45.0,Component2,Component4,45.9,61.29,73.5,33.9,15.29,Component2,Component1,232.09,629.04,155.72,62.2,106.72,221.56,54.58,22.32,170.6,447.07,100.75,40.42,ComponentRepair
MID11094,model4,20,45.0,99.14,37.35,0.0,60.0,21.43,error5,error1,60.0,0.0,0.0,60.0,34.29,Component4,Component4,71.6,27.17,52.25,47.8,16.45,Component4,Component4,237.65,622.84,187.34,64.33,117.77,228.89,65.18,22.83,171.16,447.54,100.71,40.55,ComponentRepair
MID11095,model3,20,0.0,142.96,0.0,0.0,60.0,45.0,error2,error5,0.0,0.0,0.0,60.0,63.0,Component2,Component4,91.0,53.78,45.71,65.0,18.89,Component2,Component2,242.31,625.05,150.39,66.8,112.45,223.47,63.78,22.9,170.46,446.35,100.74,40.46,NoIssue
MID11096,model1,20,0.0,30.0,20.0,63.0,56.25,21.0,error4,error4,0.0,30.0,56.25,56.25,21.82,Component4,Component3,79.4,21.14,31.86,69.57,18.65,Component4,Component4,226.05,650.34,162.47,64.56,116.14,249.27,65.65,22.91,170.72,448.0,101.51,40.58,ComponentRepair
MID11097,model2,19,40.0,54.31,49.62,54.0,30.0,16.58,error1,error4,40.0,65.0,54.0,30.0,22.5,Component1,Component3,75.29,47.43,31.7,30.11,15.94,Component1,Component3,229.98,627.45,160.47,63.0,116.92,250.73,61.49,16.47,170.82,446.84,101.46,40.48,ComponentReplacement
MID11098,model3,19,35.69,57.69,37.5,0.0,52.5,25.28,error2,error5,0.0,37.5,0.0,52.5,30.0,Component4,Component4,60.29,40.22,45.43,52.88,14.45,Component2,Component2,229.8,627.26,153.04,70.25,108.17,222.92,61.6,19.7,170.66,448.34,100.59,40.59,ComponentRepair
